profile,tR_us,page_kb,planes_per_die,die_cap_gb,channels,dies_per_channel,n_planes,capacity_TB,lanes,freq_mhz,ecc,batch,dense_fp8,ch_bw_gbps,tok_s,tpot_ms,J_per_token,bottleneck_expert,bottleneck_dense,sensed_GB_per_token,total_lanes
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,16,False,3.2,33.507,477.5,3.81,compute,channel,29.6,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,16,True,3.2,35.963,444.9,3.39,compute,channel,26.2,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,32,False,3.2,26.191,1221.8,3.03,compute,channel,23.3,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,32,True,3.2,27.302,1172.1,2.82,compute,channel,21.6,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,64,False,3.2,20.102,3183.8,2.27,compute,channel,17.2,131072
slc-z,1,2,8,8,64,8,4096,4.1,32,400.0,0.0,64,True,3.2,20.646,3099.9,2.17,compute,channel,16.4,131072
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,1,False,3.2,4.365,229.1,17.13,compute,sense,137.0,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,1,True,3.2,5.379,185.9,10.45,compute,compute,83.1,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,4,False,3.2,2.878,1389.7,6.7,compute,compute,52.9,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,4,True,3.2,2.944,1358.7,5.03,compute,compute,39.5,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,8,False,3.2,1.776,4503.2,4.87,compute,compute,38.2,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,8,True,3.2,1.789,4472.2,4.04,compute,compute,31.4,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,16,False,3.2,1.041,15364.7,3.81,compute,compute,29.6,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,16,True,3.2,1.043,15333.6,3.39,compute,compute,26.2,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,32,False,3.2,0.622,51409.0,3.03,compute,compute,23.3,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,32,True,3.2,0.623,51378.0,2.82,compute,compute,21.6,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,64,False,3.2,0.407,157135.7,2.27,compute,compute,17.2,2048
slc-z,3,2,8,8,32,8,2048,2.05,1,400.0,0.0,64,True,3.2,0.407,157104.7,2.17,compute,compute,16.4,2048
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,1,False,3.2,5.362,186.5,17.13,sense,sense,137.0,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,1,True,3.2,8.666,115.4,10.45,sense,sense,83.1,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,4,False,3.2,8.552,467.7,6.7,compute,sense,52.9,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,4,True,3.2,9.421,424.6,5.03,compute,compute,39.5,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,8,False,3.2,6.196,1291.1,4.87,compute,compute,38.2,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,8,True,3.2,6.349,1260.1,4.04,compute,compute,31.4,8192
slc-z,3,2,8,8,32,8,2048,2.05,4,400.0,0.0,16,False,3.2,3.891,4112.5,3.81,compute,compute,29.6,8192
